"","Dec_time","Condition","date","Dec_ZT_time","mean_of_sleep_counts","sem"
"4438",117,"wt",2024-02-27,1197,0.758620689655172,0.080869237238335
"4439",118,"wt",2024-02-27,1198,0.758620689655172,0.080869237238335
"4440",119,"wt",2024-02-27,1199,0.758620689655172,0.080869237238335
"4441",120,"wt",2024-02-27,1200,0.724137931034483,0.0844651635442475
"4442",121,"wt",2024-02-27,1201,0.724137931034483,0.0844651635442475
"4443",122,"wt",2024-02-27,1202,0.689655172413793,0.0874297504891569
"4444",123,"wt",2024-02-27,1203,0.689655172413793,0.0874297504891569
"4445",124,"wt",2024-02-27,1204,0.724137931034483,0.0844651635442475
"4446",125,"wt",2024-02-27,1205,0.689655172413793,0.0874297504891569
"4447",126,"wt",2024-02-27,1206,0.724137931034483,0.0844651635442475
"4448",127,"wt",2024-02-27,1207,0.793103448275862,0.0765530555069953
"4449",128,"wt",2024-02-27,1208,0.758620689655172,0.080869237238335
"4450",129,"wt",2024-02-27,1209,0.689655172413793,0.0874297504891569
"4451",130,"wt",2024-02-27,1210,0.689655172413793,0.0874297504891569
"4452",131,"wt",2024-02-27,1211,0.689655172413793,0.0874297504891569
"4453",132,"wt",2024-02-27,1212,0.689655172413793,0.0874297504891569
"4454",133,"wt",2024-02-27,1213,0.689655172413793,0.0874297504891569
"4455",134,"wt",2024-02-27,1214,0.689655172413793,0.0874297504891569
"4456",135,"wt",2024-02-27,1215,0.793103448275862,0.0765530555069953
"4457",136,"wt",2024-02-27,1216,0.793103448275862,0.0765530555069953
"4458",137,"wt",2024-02-27,1217,0.827586206896552,0.0713860923457608
"4459",138,"wt",2024-02-27,1218,0.793103448275862,0.0765530555069953
"4460",139,"wt",2024-02-27,1219,0.758620689655172,0.080869237238335
"4461",140,"wt",2024-02-27,1220,0.758620689655172,0.080869237238335
"4462",141,"wt",2024-02-27,1221,0.758620689655172,0.080869237238335
"4463",142,"wt",2024-02-27,1222,0.827586206896552,0.0713860923457608
"4464",143,"wt",2024-02-27,1223,0.827586206896552,0.0713860923457608
"4465",144,"wt",2024-02-27,1224,0.827586206896552,0.0713860923457608
"4466",145,"wt",2024-02-27,1225,0.827586206896552,0.0713860923457608
"4467",146,"wt",2024-02-27,1226,0.862068965517241,0.0651662884498668
"4468",147,"wt",2024-02-27,1227,0.827586206896552,0.0713860923457608
"4469",148,"wt",2024-02-27,1228,0.827586206896552,0.0713860923457608
"4470",149,"wt",2024-02-27,1229,0.793103448275862,0.0765530555069953
"4471",150,"wt",2024-02-27,1230,0.758620689655172,0.080869237238335
"4472",151,"wt",2024-02-27,1231,0.827586206896552,0.0713860923457608
"4473",152,"wt",2024-02-27,1232,0.827586206896552,0.0713860923457608
"4474",153,"wt",2024-02-27,1233,0.793103448275862,0.0765530555069953
"4475",154,"wt",2024-02-27,1234,0.793103448275862,0.0765530555069953
"4476",155,"wt",2024-02-27,1235,0.862068965517241,0.0651662884498668
"4477",156,"wt",2024-02-27,1236,0.862068965517241,0.0651662884498668
"4478",157,"wt",2024-02-27,1237,0.827586206896552,0.0713860923457608
"4479",158,"wt",2024-02-27,1238,0.862068965517241,0.0651662884498668
"4480",159,"wt",2024-02-27,1239,0.862068965517241,0.0651662884498668
"4481",160,"wt",2024-02-27,1240,0.862068965517241,0.0651662884498668
"4482",161,"wt",2024-02-27,1241,0.862068965517241,0.0651662884498668
"4483",162,"wt",2024-02-27,1242,0.896551724137931,0.0575533076135366
"4484",163,"wt",2024-02-27,1243,0.931034482758621,0.0478872465399596
"4485",164,"wt",2024-02-27,1244,0.896551724137931,0.0575533076135366
"4486",165,"wt",2024-02-27,1245,0.896551724137931,0.0575533076135366
"4487",166,"wt",2024-02-27,1246,0.896551724137931,0.0575533076135366
"4488",167,"wt",2024-02-27,1247,0.862068965517241,0.0651662884498668
"4489",168,"wt",2024-02-27,1248,0.793103448275862,0.0765530555069953
"4490",169,"wt",2024-02-27,1249,0.793103448275862,0.0765530555069953
"4491",170,"wt",2024-02-27,1250,0.793103448275862,0.0765530555069953
"4492",171,"wt",2024-02-27,1251,0.758620689655172,0.080869237238335
"4493",172,"wt",2024-02-27,1252,0.793103448275862,0.0765530555069953
"4494",173,"wt",2024-02-27,1253,0.793103448275862,0.0765530555069953
"4495",174,"wt",2024-02-27,1254,0.758620689655172,0.080869237238335
"4496",175,"wt",2024-02-27,1255,0.827586206896552,0.0713860923457608
"4497",176,"wt",2024-02-27,1256,0.758620689655172,0.080869237238335
"4498",177,"wt",2024-02-27,1257,0.827586206896552,0.0713860923457608
"4499",178,"wt",2024-02-27,1258,0.758620689655172,0.080869237238335
"4500",179,"wt",2024-02-27,1259,0.758620689655172,0.080869237238335
"4501",180,"wt",2024-02-27,1260,0.724137931034483,0.0844651635442475
"4502",181,"wt",2024-02-27,1261,0.758620689655172,0.080869237238335
"4503",182,"wt",2024-02-27,1262,0.758620689655172,0.080869237238335
"4504",183,"wt",2024-02-27,1263,0.793103448275862,0.0765530555069953
"4505",184,"wt",2024-02-27,1264,0.793103448275862,0.0765530555069953
"4506",185,"wt",2024-02-27,1265,0.793103448275862,0.0765530555069953
"4507",186,"wt",2024-02-27,1266,0.827586206896552,0.0713860923457608
"4508",187,"wt",2024-02-27,1267,0.793103448275862,0.0765530555069953
"4509",188,"wt",2024-02-27,1268,0.758620689655172,0.080869237238335
"4510",189,"wt",2024-02-27,1269,0.724137931034483,0.0844651635442475
"4511",190,"wt",2024-02-27,1270,0.724137931034483,0.0844651635442475
"4512",191,"wt",2024-02-27,1271,0.724137931034483,0.0844651635442475
